#OTU ID,Blank1,Blank2,Blank3,Blank4,NOF1,NOF10,NOF11,NOF12,NOF2,NOF3,NOF4,NOF6,NOF7,NOF8,NOF9,NOM1,NOM10,NOM11,NOM12,NOM2,NOM3,NOM4,NOM5,NOM6,NOM7,NOM8,NOM9,WAF1,WAF2,WAF3,WAF4,WAF5,WAF6,WAF7,WAF8,WAF9,WAM1,WAM2,WAM3,WAM4,WAM5,WAM6,WAM7
0ff52ecd45be79c478d82cfd5bd2e9cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
82dece6e35540738ba450a0c3a90b5a0,0,0,0,0,0,0,0,0,0,0,0,0,452,723,0,0,0,0,0,0,0,712,0,0,99,0,0,0,118,0,22,0,0,0,0,0,0,0,0,218,0,0,0
ce3eb0e9cc106552485ab712053206b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37dd389c420246c9c871d8ede576408c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40cd9d165ccaaa972e6ba1c97824de2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,99,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0
770d2e2fe4df06882a34f2cdb55bfa18,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e4cbf367dd4e1c02bcdf677fb69201f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2790784deb7d6313e4a5a4e137be2111,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09054eea0379700916764dab6f41ccab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d3e53e67ee2fbe9e0b604da346775b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6f9c84371a68a6c1c147725701de98a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524df63b34879bee3d676d5319d510f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c11b13a64ef71c61e04c45228af7484f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0
2ba93b71cefb6f1f8004f084a1acb9e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
a5e1bc1559fc9a6eecd0901113fb9409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
df0412650bc1b5f2e2a10863ee8d5b4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82494701b43b42a162ae37a8d3d6ab4f,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ce968c689d8f818fc075e8bcac2f849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
dc8d362d42840d2fdb0513f1ec843861,0,0,0,0,827,0,0,0,0,0,0,121,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,546,66,0,0
ab0ac6da42f1f5f3a2aaeebcb9f1ba9e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a758d81eb895b9fa6ac64f7838dfddad,0,0,0,0,0,144,0,0,0,0,0,0,0,0,46,0,0,0,0,697,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
b10e8813215867e398194baaf734e70e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,135,13,0,0,0
