sample_name,Chao1,Shannon,FaithPD,sample_or_control,date_extracted,quant_reading,date_PCR,avg_sperm_length,aggression_assay,sex,species,date_behavioral_assayed,time_behavioral_assay,date_collected,time_collected,site,locality,mount_ID,vocal_ID,dissector _initials,assayed?,type_of_collect,weather,breeding_notes,breeding_stage,number_of_lures,time_assay_start,time_responded_to_playback,time_shot,time_in_hand,time_euthanized,facial_ornament,testis1_length,testis1_width,testis1_mass_oz,testis2_length,testis2_width,testis2_mass_oz,avg_testes_length,avg_testes_width,avg_testes_mass,gonad_mass,avg_testes_vol,ovary_mass,follicle1_length,follicle1_width,follicle2_length,follicle2_width,nest_photo,body_mass,facial_shield_length,facial_shield_width,facial_shield_index,wattle_length,wattle_width,wattle_index,dorsal_index,bill_length,bill_width,bill_depth,tarsus_length,wing_length,left_spur,right_spur,avg_spur,testosterone,log_testosterone,ln_testosterone,distance,hover_flights,wing_spread,flyovers,vocalizations,threats,pecks,comp.1,comp.2,comp.3,Issues?,Notes 1,Notes 2
NOM7,187.5,3.354128564,18.11471802,true_sample,8-Mar-20,19.3,18-Jun-23,100.2852,8,male,J. spinosa,13-Jun-18,,21-Jun-18,11:17 AM,La Barqueta,large pond along canal behind barn,195,La Gamba,SEL,Yes,Delayed,,Incubating,Parenting,,,,"11:15, 11:16",11:17,11:17,Yes,15.3,7.8,NA,NA,NA,NA,15.3,7.8,NA,NA,3897.16704,NA,NA,NA,NA,NA,Nest 3,91,23,21.7,1,0,0,1,1,17.9,4.3,6.4,55.4,117,12.2,11,11.6,0.27325,-0.563439829,-1.297368152,19,0,0.033333333,0,0,0,0,1.532703077,-0.253990356,-0.053115605,brain maybe a little nicked at the bottom upon breaking meninges,shot twice; took R eye; brain maybe a little nicked at the bottom upon breaking meninges; skull soft but came off easily,
NOM8,98.42857143,2.382470388,9.279865676,true_sample,8-Mar-20,19.1,18-Jun-23,99.7321,29,male,J. spinosa,30-Jun-18,3:43 PM,30-Jun-18,3:51 PM,La Barqueta,pond in front of barn,195,Colorado,SEL,Yes,Immediate,,Huge testes,Courtship,1,3:43,3:43,3:51,3:51,3:52,Yes,15.2,8.6,0.02,13.1,8.1,0.015,14.15,8.35,0.0175,0.0175,4130.453863,NA,NA,NA,NA,NA,NA,103.1,23.7,23.3,1,0,0,1,1,17.8,5,5.7,56.9,120,12.2,10.7,11.45,4.522,0.655330558,1.508954374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
NOM9,109.6,2.289524021,12.54457755,true_sample,8-Mar-20,13.6,18-Jun-23,95.1645,28,male,J. spinosa,30-Jun-18,,6-Jul-18,9:13,La Barqueta,ceramic wall,191,La Gamba,SEL,Yes,Delayed,sunny,Copulating,Courtship,,,,9:47,9:47,9:48,Yes,17.9,9.2,0.025,14.5,7.8,0.015,16.2,8.5,0.02,0.02,4900.284,NA,NA,NA,NA,NA,NA,96.3,24.1,20.1,1,0,0,1,1,17.4,3.9,5.6,57.3,117,9.3,8.7,9,5.54775,0.744116882,1.71339244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Pins growing in around where BP was,
WAF1,162.5625,2.853197408,15.48425401,true_sample,15-Jun-23,16.8,18-Jun-23,,1,female,J. jacana,12-May-18,12:40 PM,12-May-18,12:40 PM,Chepo,Field right of barn near road,219,El Coco,"SEL - Body, CRH - Brain",Yes,Immediate,"light rain, cloudy",,Courtship,,12:40,12:40,12:54,1:23,1:26,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,143.5,22,16.2,0,14.6,7.8,0,0,20.1,4.6,6.6,59,132,12.5,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In hand 31 min after assay started,"Couldn't find F after shot, so in hand 36 min after assay",
WAF2,101,2.985244758,11.35213805,true_sample,15-Jun-23,13.8,18-Jun-23,,2,female,J. jacana,12-May-18,4:15 PM,12-May-18,4:15 PM,Chepo,Small pond near gate,207,Gamboa,CRH,Yes,Immediate,sunny,,Courtship,,4:15 PM,4:17,4:22,4:23,4:25,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,139.3,24.5,16.3,0,13.5,7.1,0,0,19.8,4.7,6.4,63,136,12.3,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No plasma,No blood,
WAF4,83.5,2.485643267,7.049896355,true_sample,15-Jun-23,19.4,18-Jun-23,,"6, 17",female,J. jacana,15-May-18,,22-May-18,1:08 PM,Chepo,Small wetland past back gate,200,El Coco,"CRH - Brain, SEL - Body",Yes,Delayed,"rainy, cloudy","Large oviduct, F has 2 males",Courtship,,1:15,1:20,1:24,1:27,1:28,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,144.6,27.2,16.6,0,15.3,7.5,0,0,19.2,4,5.3,56.3,130,10.2,10,10.1,0.1028125,-0.98795408,-2.274848338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,F had 2 male mates; use behavior from assay 6 for F,Blue tips on facial shield
WAF5,50.5,2.945579204,6.146126794,true_sample,15-Jun-23,16.9,18-Jun-23,,NA,female,J. jacana,NA,NA,26-May-18,12:54 PM,Chepo,Small pond near gate,NA,NA,"CRH- Brain, SEL - Body",No,No Assay,,,Courtship,NA,NA,NA,12:54,2:57,1:01,Yes,18.7,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,143.7,24,18.2,0,18.6,8.3,0,0,19.8,4.1,6.5,59.2,130,11.2,10.5,10.85,6.5014375,0.813009392,1.872023306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,F w/ male from pond where we collected WAF2; follicle/ovary went into tube labeled facial ornament; younger female based on skull,Blue tips on facial shield
WAF6,53,2.197271898,5.927106939,true_sample,15-Jun-23,25.4,18-Jun-23,,NA,female,J. jacana,NA,NA,26-May-18,3:00 PM,Chepo,"Barn, field in front",NA,NA,"CRH- Brain, SEL - Body",No,No Assay,,"Copulating, foraging w/ 3 immatures",Courtship,NA,NA,NA,3:08 PM,3:08,3:09,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,151.1,NA,15.6,0,NA,6.9,0,0,18.8,4.8,6.8,59.5,130,12.6,12,12.3,0.080416667,-1.094653933,-2.520533827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Collected w/ mate WAM2,Blue tips on facial shield
WAF7,62.75,2.404113959,8.116640418,true_sample,15-Jun-23,15.2,18-Jun-23,,19,female,J. jacana,24-May-18,,31-May-18,1:08 PM,Chepo,Corner of field near goats,219,Chepo,SEL,Yes,Delayed,overcast,Laying,Courtship,,,,1:08,1:09,1:10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,158,23.5,16,0,15.2,7,0,0,19.3,4.2,6.5,59.3,127,10.5,10.5,10.5,0.6565,-0.18276527,-0.420832585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,F had pre-egg mass that came out of cloaca upon collection; unsure if she was laying during assay too (7 days prior),Blue tips on facial shield
WAF8,425.9,3.510523601,31.93939507,true_sample,15-Jun-23,10.8,18-Jun-23,,NA,female,J. jacana,NA,NA,15-Jul-18,5:16 PM,Gamboa Resort,Canoe dock behind resort,NA,NA,SEL,No,No Assay,"rainy, cloudy",,Courtship,NA,NA,NA,17:43,17:43,17:44,Yes,NA,NA,0.015,NA,NA,NA,NA,NA,NA,0.015,NA,0.015,,,,,NA,144.7,21.2,16.2,0,14.6,7.1,0,0,18.4,4.7,7,60,133,12.9,12,12.45,0.5685625,-0.245221788,-0.564644033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerebellum accidentally cut off during dissection,,Blue tips on facial shield
WAF9,43,2.566471528,5.784449056,true_sample,15-Jun-23,19.3,18-Jun-23,,NA,female,J. jacana,NA,NA,16-Jul-18,12:47 PM,Chepo,field right of barn,NA,NA,No,No,No Assay,,Laying,Courtship,NA,NA,NA,12:47,12:47,12:47,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.12,NA,NA,NA,NA,NA,176.8,24.3,17.8,0,15.7,6.5,0,0,18.1,4.7,6.7,61.3,130,10.1,10.7,10.4,0.277375,-0.556932685,-1.282384898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WAM1,39.5,2.412789514,4.715038924,true_sample,15-Jun-23,10.7,18-Jun-23,90.9271,7,male,J. jacana,16-May-18,2:21 PM,16-May-18,2:21 PM,Las Guabas,Pond by road,218,Chepo,"CRH- Brain, SEL - body",Yes,Immediate,thunderstorm,,NA,5,2:21,2:28,14:35,2:36,2:38,Yes,10.7,7.5,NA,NA,NA,NA,10.7,7.5,NA,NA,2519.85,NA,NA,NA,NA,NA,NA,103.7,23.4,17.2,0,15.7,6.5,0,0,18,3.8,5.4,56.3,119,7.7,8.1,7.9,6.18575,0.791392364,1.82224826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No RNA blood; found ductus deferens; thunderstorm; F had 2 males,Blue tips on facial shield
WAM2,44,1.063237288,5.806001756,true_sample,15-Jun-23,23.2,18-Jun-23,90.594,NA,male,J. jacana,26-May-18,3:00 PM,26-May-18,3:00 PM,Chepo,"barn, field in front; collected w/ mate WAF6",NA,NA,"CRH- Brain, SEL - body",No,No Assay,,Copulating; foraging w/ 3 juveniles,Courtship,NA,NA,NA,15:07,3:08,3:09,Yes,7.2,5.6,NA,13,6,NA,10.1,5.8,NA,NA,1422.478613,NA,NA,NA,NA,NA,NA,93.9,24.8,15.2,0,NA,6.2,0,0,17.6,4.3,6,54.3,117,8.7,8.8,8.75,0.23325,-0.632178348,-1.455644439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Blue tips on facial shield
WAM3,69,3.275483123,8.386129629,true_sample,15-Jun-23,16.4,18-Jun-23,89.37483333,24,male,J. jacana,6-Jun-18,5:00 PM,6-Jun-18,5:00 PM,Felipe's/Checkpoint,Marsh down from gate,207,Chepo,SEL,Yes,Delayed,overcast,Copulating; has brood patches,Courtship,,,,17:00,5:01,5:02,Yes,16.2,8.1,0.02,NA,NA,0.02,16.2,8.1,0.02,0.02,4449.93264,NA,NA,NA,NA,NA,NA,93.8,21.2,14.9,0,11.9,4.9,0,0,18,3.5,5.9,54.8,114,9.4,6.2,7.8,2.988125,0.475398761,1.0946461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Copulating with female both on assay and day of collection,  female is also mated with male RYR; squished L eye so also took R eye; skull soft - younger male?",Blue tips on facial shield; R spur cut
